num_ues	slice_prb	scheduling_policy	dl_mcs	dl_n_samples	dl_buffer	tx_brate downlink	tx_pkts downlink	dl_cqi	ul_mcs	ul_n_samples	ul_buffer	rx_brate uplink	rx_pkts uplink	rx_errors uplink	ul_sinr	phr	sum_requested_prbs	sum_granted_prbs	ul_turbo_iters	reward
num_ues	1.000	-0.001	0.107	0.003	0.003	0.020	-0.035	0.004	0.004	-0.048	0.008	0.002	-0.060	0.007	0.039	-0.063	-0.013	-0.007	-0.042	0.030	0.037
slice_prb	-0.001	1.000	0.000	0.008	0.075	-0.059	0.341	0.075	0.000	0.011	0.015	0.004	0.006	0.015	0.004	0.006	0.008	0.326	0.369	0.004	0.166
scheduling_policy	0.107	0.000	1.000	-0.024	0.214	0.028	-0.012	0.215	-0.048	-0.114	0.012	-0.005	-0.083	0.009	0.056	-0.128	-0.028	0.146	-0.007	0.045	0.395
dl_mcs	0.003	0.008	-0.024	1.000	0.475	0.440	0.463	0.475	0.425	0.163	0.154	0.015	0.205	0.153	0.110	0.152	0.202	0.279	0.351	0.122	-0.220
dl_n_samples	0.003	0.075	0.214	0.475	1.000	0.794	0.755	1.000	-0.019	0.098	0.161	0.018	0.166	0.158	0.098	0.065	0.147	0.706	0.755	0.096	-0.070
dl_buffer	0.020	-0.059	0.028	0.440	0.794	1.000	0.543	0.794	0.028	0.118	0.143	0.021	0.172	0.143	0.051	0.084	0.128	0.399	0.555	0.058	-0.363
tx_brate downlink	-0.035	0.341	-0.012	0.463	0.755	0.543	1.000	0.755	0.119	0.125	0.133	0.019	0.188	0.133	0.049	0.099	0.131	0.772	0.942	0.053	-0.194
tx_pkts downlink	0.004	0.075	0.215	0.475	1.000	0.794	0.755	1.000	-0.018	0.102	0.165	0.019	0.169	0.163	0.101	0.068	0.150	0.706	0.755	0.100	-0.069
dl_cqi	0.004	0.000	-0.048	0.425	-0.019	0.028	0.119	-0.018	1.000	0.043	0.010	0.002	0.044	0.012	-0.025	0.056	0.041	-0.009	-0.005	-0.014	-0.017
ul_mcs	-0.048	0.011	-0.114	0.163	0.098	0.118	0.125	0.102	0.043	1.000	0.602	0.035	0.606	0.601	0.561	0.693	0.538	0.045	0.115	0.682	-0.156
ul_n_samples	0.008	0.015	0.012	0.154	0.161	0.143	0.133	0.165	0.010	0.602	1.000	0.015	0.671	0.997	0.651	0.357	0.631	0.105	0.131	0.733	-0.070
ul_buffer	0.002	0.004	-0.005	0.015	0.018	0.021	0.019	0.019	0.002	0.035	0.015	1.000	0.027	0.015	0.015	0.050	0.041	0.014	0.019	0.022	-0.012
rx_brate uplink	-0.060	0.006	-0.083	0.205	0.166	0.172	0.188	0.169	0.044	0.606	0.671	0.027	1.000	0.668	0.358	0.585	0.780	0.083	0.178	0.491	-0.180
rx_pkts uplink	0.007	0.015	0.009	0.153	0.158	0.143	0.133	0.163	0.012	0.601	0.997	0.015	0.668	1.000	0.646	0.347	0.621	0.103	0.130	0.717	-0.072
rx_errors uplink	0.039	0.004	0.056	0.110	0.098	0.051	0.049	0.101	-0.025	0.561	0.651	0.015	0.358	0.646	1.000	0.178	0.377	0.057	0.053	0.840	-0.009
ul_sinr	-0.063	0.006	-0.128	0.152	0.065	0.084	0.099	0.068	0.056	0.693	0.357	0.050	0.585	0.347	0.178	1.000	0.627	0.024	0.086	0.315	-0.143
phr	-0.013	0.008	-0.028	0.202	0.147	0.128	0.131	0.150	0.041	0.538	0.631	0.041	0.780	0.621	0.377	0.627	1.000	0.093	0.122	0.534	-0.084
sum_requested_prbs	-0.007	0.326	0.146	0.279	0.706	0.399	0.772	0.706	-0.009	0.045	0.105	0.014	0.083	0.103	0.057	0.024	0.093	1.000	0.801	0.059	0.150
sum_granted_prbs	-0.042	0.369	-0.007	0.351	0.755	0.555	0.942	0.755	-0.005	0.115	0.131	0.019	0.178	0.130	0.053	0.086	0.122	0.801	1.000	0.055	-0.193
ul_turbo_iters	0.030	0.004	0.045	0.122	0.096	0.058	0.053	0.100	-0.014	0.682	0.733	0.022	0.491	0.717	0.840	0.315	0.534	0.059	0.055	1.000	-0.015
reward	0.037	0.166	0.395	-0.220	-0.070	-0.363	-0.194	-0.069	-0.017	-0.156	-0.070	-0.012	-0.180	-0.072	-0.009	-0.143	-0.084	0.150	-0.193	-0.015	1.000
