time,dl_bytes,dl_thp,sl_prb
0,17992,6.91446,27
1,21970,6.8912,27
2,21970,6.8912,27
3,13487,6.25306,27
4,13487,6.25306,27
5,4528,4.30189,33
6,0,4.98432,33
7,12020,7.52787,36
8,12020,7.52787,36
9,17585,11.8402,42
10,17585,11.8402,42
11,30607,11.4979,39
12,30607,11.4979,39
13,39423,11.1078,24
14,39423,11.1078,24
15,0,5.6464,18
16,0,5.6464,18
17,12203,4.86214,33
18,12203,4.86214,33
19,15356,9.23661,42
20,15356,9.23661,42
21,23755,11.0544,30
22,23755,11.0544,30
23,31700,8.71238,33
24,31700,8.71238,33
25,40125,8.99962,24
26,0,4.9193,36
27,24927,8.1471,36
28,29974,10.0656,36
29,18745,11.0051,42
30,18745,11.0051,42
31,31528,11.6944,30
32,31528,11.6944,30
33,42576,8.92038,36
34,42576,8.92038,36
35,46310,10.4442,36
36,46310,10.4442,36
37,40561,10.9409,42
38,40561,10.9409,42
39,47850,10.6677,27
40,47850,10.6677,27
41,16606,7.25626,33
42,16606,7.25626,33
43,43423,8.9689,33
44,43423,8.9689,33
45,49191,8.99962,30
46,49191,8.99962,30
47,47688,8.68934,18
48,47688,8.68934,18
49,54689,4.95968,42
50,50818,10.9907,42
51,56509,11.137,33
52,56509,11.137,33
53,54697,9.54746,27
54,54697,9.54746,27
55,62739,7.21888,30
56,62739,7.21888,30
57,62621,8.65248,39
58,62621,8.65248,39
59,43029,11.0525,42
60,43029,11.0525,42
61,49729,10.6861,15
62,49729,10.6861,15
63,26122,4.5655,42
64,26122,4.5655,42
65,16316,10.5879,18
66,16316,10.5879,18
67,13889,4.75469,27
68,13889,4.75469,27
69,8892,4.55194,24
70,8892,4.55194,24
71,0,3.55974,27
72,0,3.55974,27
73,0,3.53792,27
74,0,3.53792,27
75,18863,4.1184,27
76,16284,6.40816,27
77,17000,7.34176,27
78,17000,7.34176,27
79,14319,6.40704,24
80,14319,6.40704,24
81,9570,10.4024,42
82,9570,10.4024,42
83,12165,11.5025,42
84,12165,11.5025,42
85,27270,1.15872,3
