"Name","State","Runtime","charts/AttackSuccessRate","charts/episodic_length","charts/episodic_return","charts/poisoning_rate","charts/reward_perturb_average","charts/reward_perturb_global","global_step"
"TrojDRL__0.25__0.5","finished","1425","0.0010668875","100","45.91419","0.25","0.9439123","0.23597808","15000"
"TrojDRL__0.25__0.2","finished","1403","0.0025815966","100","45.729427","0.25","0.6675282","0.16688205","15000"
"TrojDRL__0.25__0.1","finished","1396","0.0036602474","100","38.193424","0.25","0.54655","0.1366375","15000"
"TrojDRL__0.1__0.5","finished","1310","0.00037977143","100","40.749985","0.1","0.8884981","0.08884981","15000"
"TrojDRL__0.1__0.2","finished","1767","0.00037237248","100","36.835564","0.1","0.632907","0.06329069","15000"
"TrojDRL__0.1__0.1","finished","1132","0.0042968597","100","35.20014","0.1","0.5534397","0.055343967","15000"
"TrojDRL__0.01__0.5","finished","1475","0.0017669117","100","46.532135","0.01","0.9588164","0.009588164","15000"
"TrojDRL__0.01__0.2","finished","1470","0.0011031552","100","47.68722","0.01","0.6625124","0.0066251243","15000"
"TrojDRL__0.01__0.1","finished","1499","0.004517853","100","20.007147","0.01","0.5398896","0.0053988956","15000"
"TrojDRL__0.005__0.5","finished","1510","0.0023261427","100","46.558716","0.005","0.9416272","0.004708136","15000"
"TrojDRL__0.005__0.2","finished","1645","0.005578773","100","23.837143","0.005","0.6330631","0.0031653156","15000"
"TrojDRL__0.005__0.1","finished","1601","0.0041261828","100","13.71497","0.005","0.5212106","0.002606053","15000"
"SN_O_0.25__0.5__1.0","finished","1488","0.0025174504","100","45.534588","0.25","2.3029346","1.1514673","15000"
"SN_O_0.25__0.5__0.5","finished","931","0.006374878","100","36.426792","0.25","1.0304163","0.5152081","15000"
"SN_O_0.25__0.5__0.0","failed","463","0.0065653925","100","44.49402","0.25","0.13224736","0.06612368","0"
"SN_O_0.25__0.2__1.0","finished","889","0.004832394","100","44.673756","0.25","1.43953","0.719765","15000"
"SN_O_0.25__0.2__0.5","finished","1086","0.0053820224","100","39.49031","0.25","1.2181298","0.6090649","15000"
