Attack,Victim,Beta,ASR,ci
TrojDRL,1,0.005,0.005579,0.001629
TrojDRL,1,0.010,0.004518,0.001811
TrojDRL,1,0.100,0.004297,0.002264
TrojDRL,1,0.250,0.003660,0.001303
TrojDRL,2,0.005,0.006435,0.001154 
TrojDRL,2,0.010,0.003247,0.001225
TrojDRL,2,0.100,0.004123,0.001146
TrojDRL,2,0.250,0.002642,0.000303
SleeperNets,1,0.005,0.030936,0.008882
SleeperNets,1,0.010,0.904006,0.040735
SleeperNets,1,0.100,0.915505,0.047580
SleeperNets,1,0.250,0.011614,0.002581
SleeperNets,2,0.005,0.031351,0.009211 
SleeperNets,2,0.010,0.912452,0.0392687
SleeperNets,2,0.100,0.907321,0.029442
SleeperNets,2,0.250,0.015432,0.001934
